Dataset,MSE,RMSE,MAE,MAPE (%),R2,Std_Dev_Error,Time (s)
Treinamento,0.006559307808505383,0.08098955369987776,0.060100598476051655,22550367.164597057,0.9019579874229,0.055317960364198095,607.6012232303619
Teste,0.00046030777307823665,0.02145478438666389,0.016337405818055244,10152830.667016393,0.9933847807046425,0.020752679675562838,0.7259182929992676
