Dataset,MSE,RMSE,MAE,MAPE (%),R2,Std_Dev_Error,Time (s)
Treinamento,0.006733590227278676,0.08205845615948838,0.06216561485558078,79758115.71246393,0.8993529870795434,0.055416004759342594,525.7182064056396
Teste,0.00041450990296432335,0.020359516275302893,0.01488612236113975,21366830.252771612,0.9940429554559352,0.018935574989471265,1.6642229557037354
